startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby;df-prod-MarcNord;df-prod-MarcSud;df-prod-V̩ronique
2025-04-01 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;0.0;0.0;0.084;0.156
2025-04-01 05:30:00+00:00;0.0;0.0;0.34;0.664
2025-04-01 05:45:00+00:00;0.0;0.0;0.636;1.196
2025-04-01 06:00:00+00:00;0.024;0.0;1.02;1.772
2025-04-01 06:15:00+00:00;0.068;0.0;1.432;2.356
2025-04-01 06:30:00+00:00;0.132;0.0;1.84;2.908
2025-04-01 06:45:00+00:00;0.184;0.0;2.24;3.452
2025-04-01 07:00:00+00:00;0.328;0.0;2.692;4.016
2025-04-01 07:15:00+00:00;0.56;0.0;3.148;4.58
2025-04-01 07:30:00+00:00;0.84;0.0;3.556;5.064
2025-04-01 07:45:00+00:00;1.14;0.0;3.956;5.496
2025-04-01 08:00:00+00:00;1.5;0.0;4.312;5.908
2025-04-01 08:15:00+00:00;2.852;0.088;4.64;6.276
2025-04-01 08:30:00+00:00;3.436;0.088;4.932;6.62
2025-04-01 08:45:00+00:00;4.028;0.044;5.252;7.008
2025-04-01 09:00:00+00:00;4.548;0.264;5.576;7.384
2025-04-01 09:15:00+00:00;5.168;0.244;5.864;7.744
2025-04-01 09:30:00+00:00;5.968;0.18;6.372;7.976
2025-04-01 09:45:00+00:00;5.744;0.02;5.7;6.604
2025-04-01 10:00:00+00:00;7.116;0.032;6.944;7.876
2025-04-01 10:15:00+00:00;6.432;0.02;5.836;6.464
2025-04-01 10:30:00+00:00;5.168;0.004;4.484;5.172
2025-04-01 10:45:00+00:00;5.728;0.0;5.192;5.632
2025-04-01 11:00:00+00:00;5.548;0.0;4.724;5.152
2025-04-01 11:15:00+00:00;3.676;0.0;2.908;3.484
2025-04-01 11:30:00+00:00;1.936;0.004;1.472;1.716
2025-04-01 11:45:00+00:00;3.344;0.012;2.696;3.232
2025-04-01 12:00:00+00:00;2.276;0.0;1.748;2.14
2025-04-01 12:15:00+00:00;2.848;0.26;2.144;2.528
2025-04-01 12:30:00+00:00;1.184;0.02;0.944;1.112
2025-04-01 12:45:00+00:00;2.08;0.016;1.7;2.08
2025-04-01 13:00:00+00:00;2.224;0.004;1.584;1.912
2025-04-01 13:15:00+00:00;1.464;0.016;1.176;1.492
2025-04-01 13:30:00+00:00;6.236;0.204;3.872;4.656
2025-04-01 13:45:00+00:00;3.78;0.024;2.268;2.908
2025-04-01 14:00:00+00:00;6.708;0.024;4.164;4.652
2025-04-01 14:15:00+00:00;6.56;0.024;3.648;4.16
2025-04-01 14:30:00+00:00;7.372;0.024;3.752;4.2
2025-04-01 14:45:00+00:00;4.808;0.028;2.624;2.708
2025-04-01 15:00:00+00:00;6.68;0.02;2.756;2.652
2025-04-01 15:15:00+00:00;6.068;0.024;2.2;2.052
2025-04-01 15:30:00+00:00;4.916;0.02;1.916;1.568
2025-04-01 15:45:00+00:00;4.848;0.024;1.54;1.088
2025-04-01 16:00:00+00:00;4.512;0.02;1.064;0.584
2025-04-01 16:15:00+00:00;4.132;0.024;0.68;0.404
2025-04-01 16:30:00+00:00;3.46;0.024;0.432;0.348
2025-04-01 16:45:00+00:00;2.744;0.012;0.248;0.296
2025-04-01 17:00:00+00:00;2.052;0.0;0.16;0.244
2025-04-01 17:15:00+00:00;1.324;0.0;0.108;0.184
2025-04-01 17:30:00+00:00;0.6;0.0;0.06;0.112
2025-04-01 17:45:00+00:00;0.012;0.0;0.016;0.04
2025-04-01 18:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 18:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 18:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 18:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 19:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 19:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 19:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 19:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 20:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 20:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 20:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 20:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 21:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 21:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 21:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 21:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 22:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 22:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 22:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 22:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 23:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 23:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 23:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-01 23:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 05:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 05:15:00+00:00;0.0;0.0;0.08;0.192
2025-04-02 05:30:00+00:00;0.0;0.0;0.304;0.672
2025-04-02 05:45:00+00:00;0.008;0.0;0.62;1.232
2025-04-02 06:00:00+00:00;0.068;0.0;0.992;1.792
2025-04-02 06:15:00+00:00;0.112;0.0;1.404;2.352
2025-04-02 06:30:00+00:00;0.192;0.0;1.816;2.904
2025-04-02 06:45:00+00:00;0.264;0.0;2.252;3.44
2025-04-02 07:00:00+00:00;0.476;0.0;2.692;4.0
2025-04-02 07:15:00+00:00;0.804;0.0;3.12;4.512
2025-04-02 07:30:00+00:00;1.24;0.0;3.5;4.952
2025-04-02 07:45:00+00:00;1.744;0.0;3.844;5.336
2025-04-02 08:00:00+00:00;2.272;0.0;4.184;5.696
2025-04-02 08:15:00+00:00;2.82;0.004;4.52;6.112
2025-04-02 08:30:00+00:00;3.364;0.036;4.836;6.464
2025-04-02 08:45:00+00:00;3.892;0.04;5.108;6.8
2025-04-02 09:00:00+00:00;4.404;0.064;5.348;7.076
2025-04-02 09:15:00+00:00;4.88;0.02;5.572;7.352
2025-04-02 09:30:00+00:00;5.348;0.024;5.784;7.556
2025-04-02 09:45:00+00:00;5.768;0.024;5.948;7.704
2025-04-02 10:00:00+00:00;6.156;0.02;6.084;7.78
2025-04-02 10:15:00+00:00;6.524;0.02;6.192;7.864
2025-04-02 10:30:00+00:00;6.792;0.008;6.148;7.748
2025-04-02 10:45:00+00:00;7.088;0.0;6.268;7.816
2025-04-02 11:00:00+00:00;7.344;0.004;6.28;7.736
2025-04-02 11:15:00+00:00;6.992;0.02;5.72;7.072
2025-04-02 11:30:00+00:00;6.444;0.028;5.312;6.36
2025-04-02 11:45:00+00:00;5.796;0.0;5.104;5.712
2025-04-02 12:00:00+00:00;7.008;0.0;5.0;6.124
2025-04-02 12:15:00+00:00;5.68;0.128;4.18;5.06
2025-04-02 12:30:00+00:00;8.432;0.016;6.072;7.216
2025-04-02 12:45:00+00:00;8.064;0.0;5.68;6.692
2025-04-02 13:00:00+00:00;6.808;0.008;4.448;5.34
2025-04-02 13:15:00+00:00;7.832;0.076;4.944;5.864
2025-04-02 13:30:00+00:00;7.78;0.132;4.768;5.628
2025-04-02 13:45:00+00:00;7.676;0.028;4.536;5.276
2025-04-02 14:00:00+00:00;7.328;0.02;4.08;4.664
2025-04-02 14:15:00+00:00;7.104;0.02;3.724;4.208
2025-04-02 14:30:00+00:00;6.628;0.024;3.284;3.632
2025-04-02 14:45:00+00:00;6.592;0.016;3.028;3.296
2025-04-02 15:00:00+00:00;6.26;0.02;2.648;2.54
2025-04-02 15:15:00+00:00;5.82;0.024;2.224;1.964
2025-04-02 15:30:00+00:00;5.412;0.024;1.816;1.248
2025-04-02 15:45:00+00:00;4.9;0.024;1.372;0.844
2025-04-02 16:00:00+00:00;4.424;0.02;0.948;0.532
2025-04-02 16:15:00+00:00;3.816;0.02;0.596;0.4
2025-04-02 16:30:00+00:00;3.264;0.024;0.42;0.352
2025-04-02 16:45:00+00:00;2.56;0.024;0.26;0.304
2025-04-02 17:00:00+00:00;1.928;0.024;0.164;0.248
2025-04-02 17:15:00+00:00;1.308;0.02;0.116;0.192
2025-04-02 17:30:00+00:00;0.668;0.024;0.08;0.128
2025-04-02 17:45:00+00:00;0.028;0.012;0.028;0.056
2025-04-02 18:00:00+00:00;0.0;0.0;0.0;0.004
2025-04-02 18:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 18:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 18:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 19:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 19:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 19:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 19:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 20:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 20:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 20:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 20:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 21:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 21:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 21:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 21:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 22:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 22:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 22:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 22:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 23:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 23:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 23:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-02 23:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 05:00:00+00:00;0.0;0.0;0.0;0.012
2025-04-03 05:15:00+00:00;0.0;0.0;0.072;0.152
2025-04-03 05:30:00+00:00;0.0;0.0;0.348;0.724
2025-04-03 05:45:00+00:00;0.028;0.0;0.364;0.656
2025-04-03 06:00:00+00:00;0.02;0.0;0.42;0.74
2025-04-03 06:15:00+00:00;0.1;0.0;0.736;1.22
2025-04-03 06:30:00+00:00;0.228;0.0;1.708;2.7
2025-04-03 06:45:00+00:00;0.332;0.0;2.204;3.32
2025-04-03 07:00:00+00:00;0.52;0.0;2.6;3.828
2025-04-03 07:15:00+00:00;0.848;0.0;3.016;4.344
2025-04-03 07:30:00+00:00;1.272;0.0;3.42;4.792
2025-04-03 07:45:00+00:00;1.756;0.0;3.78;5.188
2025-04-03 08:00:00+00:00;2.276;0.0;4.116;5.564
2025-04-03 08:15:00+00:00;2.808;0.032;4.444;5.964
2025-04-03 08:30:00+00:00;3.34;0.112;4.74;6.316
2025-04-03 08:45:00+00:00;3.84;0.028;4.98;6.596
2025-04-03 09:00:00+00:00;4.316;0.024;5.236;6.872
2025-04-03 09:15:00+00:00;4.784;0.024;5.432;7.116
2025-04-03 09:30:00+00:00;5.232;0.02;5.624;7.316
2025-04-03 09:45:00+00:00;5.596;0.02;5.732;7.352
2025-04-03 10:00:00+00:00;5.916;0.008;5.848;7.424
2025-04-03 10:15:00+00:00;6.288;0.0;5.96;7.508
2025-04-03 10:30:00+00:00;6.524;0.0;5.976;7.468
2025-04-03 10:45:00+00:00;6.812;0.0;6.052;7.496
2025-04-03 11:00:00+00:00;7.06;0.0;6.016;7.452
2025-04-03 11:15:00+00:00;7.064;0.0;5.944;7.252
2025-04-03 11:30:00+00:00;7.192;0.0;5.796;7.104
2025-04-03 11:45:00+00:00;7.392;0.0;5.8;7.036
2025-04-03 12:00:00+00:00;7.548;0.0;5.724;6.952
2025-04-03 12:15:00+00:00;7.66;0.0;5.652;6.816
2025-04-03 12:30:00+00:00;7.712;0.048;5.468;6.572
2025-04-03 12:45:00+00:00;7.664;0.228;5.24;6.26
2025-04-03 13:00:00+00:00;7.596;0.02;5.064;6.004
2025-04-03 13:15:00+00:00;7.504;0.024;4.808;5.656
2025-04-03 13:30:00+00:00;7.348;0.02;4.512;5.284
2025-04-03 13:45:00+00:00;7.236;0.024;4.228;4.904
2025-04-03 14:00:00+00:00;7.116;0.02;3.96;4.532
2025-04-03 14:15:00+00:00;6.864;0.024;3.652;4.104
2025-04-03 14:30:00+00:00;6.644;0.02;3.316;3.664
2025-04-03 14:45:00+00:00;6.292;0.024;2.932;3.132
2025-04-03 15:00:00+00:00;5.484;0.024;2.404;2.268
2025-04-03 15:15:00+00:00;4.224;0.02;1.636;1.5
2025-04-03 15:30:00+00:00;4.856;0.024;1.656;1.172
2025-04-03 15:45:00+00:00;4.352;0.028;1.272;0.804
2025-04-03 16:00:00+00:00;4.256;0.02;0.924;0.552
2025-04-03 16:15:00+00:00;3.72;0.016;0.616;0.428
2025-04-03 16:30:00+00:00;3.08;0.024;0.432;0.364
2025-04-03 16:45:00+00:00;2.52;0.024;0.268;0.304
2025-04-03 17:00:00+00:00;1.828;0.02;0.164;0.244
2025-04-03 17:15:00+00:00;1.224;0.024;0.108;0.176
2025-04-03 17:30:00+00:00;0.456;0.0;0.06;0.108
2025-04-03 17:45:00+00:00;0.028;0.0;0.012;0.04
2025-04-03 18:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 18:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 18:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 18:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 19:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 19:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 19:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 19:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 20:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 20:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 20:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 20:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 21:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 21:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 21:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 21:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 22:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 22:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 22:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 22:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 23:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 23:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 23:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-03 23:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 05:00:00+00:00;0.0;0.0;0.008;0.032
2025-04-04 05:15:00+00:00;0.0;0.0;0.148;0.38
