startedAt;temperature;weather_condition;dew_point;rain;snowfall;cloud_cover
2025-01-20 23:00:00+00:00;-3.8;overcast;-4.9;0.0;0.0;83
2025-01-20 23:15:00+00:00;-3.8;overcast;-4.9;0.0;0.0;83
2025-01-20 23:30:00+00:00;-3.8;overcast;-4.9;0.0;0.0;83
2025-01-20 23:45:00+00:00;-3.8;overcast;-4.9;0.0;0.0;83
2025-01-21 00:00:00+00:00;-3.8;overcast;-4.9;0.0;0.0;99
2025-01-21 00:15:00+00:00;-3.8;overcast;-4.9;0.0;0.0;99
2025-01-21 00:30:00+00:00;-3.8;overcast;-4.9;0.0;0.0;99
2025-01-21 00:45:00+00:00;-3.8;overcast;-4.9;0.0;0.0;99
2025-01-21 01:00:00+00:00;-4.0;overcast;-4.9;0.0;0.0;100
2025-01-21 01:15:00+00:00;-4.0;overcast;-4.9;0.0;0.0;100
2025-01-21 01:30:00+00:00;-4.0;overcast;-4.9;0.0;0.0;100
2025-01-21 01:45:00+00:00;-4.0;overcast;-4.9;0.0;0.0;100
2025-01-21 02:00:00+00:00;-3.3;overcast;-3.6;0.0;0.0;100
2025-01-21 02:15:00+00:00;-3.3;overcast;-3.6;0.0;0.0;100
2025-01-21 02:30:00+00:00;-3.3;overcast;-3.6;0.0;0.0;100
2025-01-21 02:45:00+00:00;-3.3;overcast;-3.6;0.0;0.0;100
2025-01-21 03:00:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 03:15:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 03:30:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 03:45:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 04:00:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 04:15:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 04:30:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 04:45:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 05:00:00+00:00;-3.2;overcast;-3.4;0.0;0.0;100
2025-01-21 05:15:00+00:00;-3.2;overcast;-3.4;0.0;0.0;100
2025-01-21 05:30:00+00:00;-3.2;overcast;-3.4;0.0;0.0;100
2025-01-21 05:45:00+00:00;-3.2;overcast;-3.4;0.0;0.0;100
2025-01-21 06:00:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 06:15:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 06:30:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 06:45:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 07:00:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 07:15:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 07:30:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 07:45:00+00:00;-3.4;overcast;-3.6;0.0;0.0;100
2025-01-21 08:00:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 08:15:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 08:30:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 08:45:00+00:00;-3.4;overcast;-3.7;0.0;0.0;100
2025-01-21 09:00:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 09:15:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 09:30:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 09:45:00+00:00;-3.3;overcast;-3.5;0.0;0.0;100
2025-01-21 10:00:00+00:00;-2.4;overcast;-2.9;0.0;0.0;99
2025-01-21 10:15:00+00:00;-2.4;overcast;-2.9;0.0;0.0;99
2025-01-21 10:30:00+00:00;-2.4;overcast;-2.9;0.0;0.0;99
2025-01-21 10:45:00+00:00;-2.4;overcast;-2.9;0.0;0.0;99
2025-01-21 11:00:00+00:00;-0.3;clear;-1.6;0.0;0.0;15
2025-01-21 11:15:00+00:00;-0.3;clear;-1.6;0.0;0.0;15
2025-01-21 11:30:00+00:00;-0.3;clear;-1.6;0.0;0.0;15
2025-01-21 11:45:00+00:00;-0.3;clear;-1.6;0.0;0.0;15
2025-01-21 12:00:00+00:00;1.9;clear;-0.9;0.0;0.0;5
2025-01-21 12:15:00+00:00;1.9;clear;-0.9;0.0;0.0;5
2025-01-21 12:30:00+00:00;1.9;clear;-0.9;0.0;0.0;5
2025-01-21 12:45:00+00:00;1.9;clear;-0.9;0.0;0.0;5
2025-01-21 13:00:00+00:00;3.5;clear;-0.3;0.0;0.0;19
2025-01-21 13:15:00+00:00;3.5;clear;-0.3;0.0;0.0;19
2025-01-21 13:30:00+00:00;3.5;clear;-0.3;0.0;0.0;19
2025-01-21 13:45:00+00:00;3.5;clear;-0.3;0.0;0.0;19
2025-01-21 14:00:00+00:00;2.6;clear;-2.9;0.0;0.0;4
2025-01-21 14:15:00+00:00;2.6;clear;-2.9;0.0;0.0;4
2025-01-21 14:30:00+00:00;2.6;clear;-2.9;0.0;0.0;4
2025-01-21 14:45:00+00:00;2.6;clear;-2.9;0.0;0.0;4
2025-01-21 15:00:00+00:00;3.1;clear;-3.2;0.0;0.0;3
2025-01-21 15:15:00+00:00;3.1;clear;-3.2;0.0;0.0;3
2025-01-21 15:30:00+00:00;3.1;clear;-3.2;0.0;0.0;3
2025-01-21 15:45:00+00:00;3.1;clear;-3.2;0.0;0.0;3
2025-01-21 16:00:00+00:00;2.2;clear;-3.2;0.0;0.0;0
2025-01-21 16:15:00+00:00;2.2;clear;-3.2;0.0;0.0;0
2025-01-21 16:30:00+00:00;2.2;clear;-3.2;0.0;0.0;0
2025-01-21 16:45:00+00:00;2.2;clear;-3.2;0.0;0.0;0
2025-01-21 17:00:00+00:00;-0.7;overcast;-3.9;0.0;0.0;81
2025-01-21 17:15:00+00:00;-0.7;overcast;-3.9;0.0;0.0;81
2025-01-21 17:30:00+00:00;-0.7;overcast;-3.9;0.0;0.0;81
2025-01-21 17:45:00+00:00;-0.7;overcast;-3.9;0.0;0.0;81
2025-01-21 18:00:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 18:15:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 18:30:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 18:45:00+00:00;-2.0;clear;-4.3;0.0;0.0;5
2025-01-21 19:00:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:15:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:30:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 19:45:00+00:00;-2.0;mainly clear;-4.1;0.0;0.0;44
2025-01-21 20:00:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:15:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:30:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 20:45:00+00:00;-2.3;clear;-4.3;0.0;0.0;1
2025-01-21 21:00:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:15:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:30:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 21:45:00+00:00;-2.7;clear;-4.6;0.0;0.0;16
2025-01-21 22:00:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:15:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:30:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 22:45:00+00:00;-3.0;clear;-4.9;0.0;0.0;6
2025-01-21 23:00:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:15:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:30:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-21 23:45:00+00:00;-3.2;partly cloudy;-5.0;0.0;0.0;75
2025-01-22 00:00:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:15:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:30:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 00:45:00+00:00;-3.8;overcast;-5.2;0.0;0.0;100
2025-01-22 01:00:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:15:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:30:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 01:45:00+00:00;-4.2;overcast;-5.4;0.0;0.0;100
2025-01-22 02:00:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:15:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:30:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 02:45:00+00:00;-4.0;overcast;-5.5;0.0;0.0;100
2025-01-22 03:00:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:15:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:30:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 03:45:00+00:00;-2.9;overcast;-4.5;0.0;0.0;100
2025-01-22 04:00:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:15:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:30:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 04:45:00+00:00;-2.1;overcast;-3.9;0.0;0.0;100
2025-01-22 05:00:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:15:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:30:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 05:45:00+00:00;-1.6;overcast;-3.6;0.0;0.0;100
2025-01-22 06:00:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:15:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:30:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 06:45:00+00:00;-1.0;overcast;-3.3;0.0;0.0;100
2025-01-22 07:00:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:15:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:30:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 07:45:00+00:00;-0.4;overcast;-3.1;0.0;0.0;100
2025-01-22 08:00:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:15:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:30:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 08:45:00+00:00;-0.1;overcast;-3.0;0.0;0.0;100
2025-01-22 09:00:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:15:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:30:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 09:45:00+00:00;-0.1;overcast;-3.0;0.0;0.0;97
2025-01-22 10:00:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:15:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:30:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 10:45:00+00:00;1.4;overcast;-2.8;0.0;0.0;100
2025-01-22 11:00:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:15:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:30:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 11:45:00+00:00;3.4;overcast;-2.6;0.0;0.0;100
2025-01-22 12:00:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:15:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:30:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 12:45:00+00:00;2.7;light drizzle;-1.4;0.2;0.0;100
2025-01-22 13:00:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 13:15:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 13:30:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 13:45:00+00:00;2.7;light drizzle;-0.3;0.1;0.0;100
2025-01-22 14:00:00+00:00;1.3;overcast;0.6;0.0;0.0;100
2025-01-22 14:15:00+00:00;1.3;overcast;0.6;0.0;0.0;100
2025-01-22 14:30:00+00:00;1.3;overcast;0.6;0.0;0.0;100
2025-01-22 14:45:00+00:00;1.3;overcast;0.6;0.0;0.0;100
2025-01-22 15:00:00+00:00;2.0;overcast;1.5;0.0;0.0;100
2025-01-22 15:15:00+00:00;2.0;overcast;1.5;0.0;0.0;100
2025-01-22 15:30:00+00:00;2.0;overcast;1.5;0.0;0.0;100
2025-01-22 15:45:00+00:00;2.0;overcast;1.5;0.0;0.0;100
2025-01-22 16:00:00+00:00;2.4;overcast;1.9;0.0;0.0;100
2025-01-22 16:15:00+00:00;2.4;overcast;1.9;0.0;0.0;100
2025-01-22 16:30:00+00:00;2.4;overcast;1.9;0.0;0.0;100
2025-01-22 16:45:00+00:00;2.4;overcast;1.9;0.0;0.0;100
2025-01-22 17:00:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 17:15:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 17:30:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 17:45:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 18:00:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 18:15:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 18:30:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 18:45:00+00:00;2.5;overcast;2.1;0.0;0.0;100
2025-01-22 19:00:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-22 19:15:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-22 19:30:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-22 19:45:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-22 20:00:00+00:00;1.7;overcast;1.5;0.0;0.0;100
2025-01-22 20:15:00+00:00;1.7;overcast;1.5;0.0;0.0;100
2025-01-22 20:30:00+00:00;1.7;overcast;1.5;0.0;0.0;100
2025-01-22 20:45:00+00:00;1.7;overcast;1.5;0.0;0.0;100
2025-01-22 21:00:00+00:00;1.8;light drizzle;1.6;0.1;0.0;100
2025-01-22 21:15:00+00:00;1.8;light drizzle;1.6;0.1;0.0;100
2025-01-22 21:30:00+00:00;1.8;light drizzle;1.6;0.1;0.0;100
2025-01-22 21:45:00+00:00;1.8;light drizzle;1.6;0.1;0.0;100
2025-01-22 22:00:00+00:00;2.1;slight rain;1.8;1.4;0.0;100
2025-01-22 22:15:00+00:00;2.1;slight rain;1.8;1.4;0.0;100
2025-01-22 22:30:00+00:00;2.1;slight rain;1.8;1.4;0.0;100
2025-01-22 22:45:00+00:00;2.1;slight rain;1.8;1.4;0.0;100
2025-01-22 23:00:00+00:00;2.6;moderate rain;2.4;2.7;0.0;100
2025-01-22 23:15:00+00:00;2.6;moderate rain;2.4;2.7;0.0;100
2025-01-22 23:30:00+00:00;2.6;moderate rain;2.4;2.7;0.0;100
2025-01-22 23:45:00+00:00;2.6;moderate rain;2.4;2.7;0.0;100
2025-01-23 00:00:00+00:00;3.1;dense drizzle;3.0;1.2;0.0;100
2025-01-23 00:15:00+00:00;3.1;dense drizzle;3.0;1.2;0.0;100
2025-01-23 00:30:00+00:00;3.1;dense drizzle;3.0;1.2;0.0;100
2025-01-23 00:45:00+00:00;3.1;dense drizzle;3.0;1.2;0.0;100
2025-01-23 01:00:00+00:00;3.9;slight rain;3.7;1.7;0.0;100
2025-01-23 01:15:00+00:00;3.9;slight rain;3.7;1.7;0.0;100
2025-01-23 01:30:00+00:00;3.9;slight rain;3.7;1.7;0.0;100
2025-01-23 01:45:00+00:00;3.9;slight rain;3.7;1.7;0.0;100
2025-01-23 02:00:00+00:00;4.4;slight rain;4.3;1.9;0.0;100
2025-01-23 02:15:00+00:00;4.4;slight rain;4.3;1.9;0.0;100
2025-01-23 02:30:00+00:00;4.4;slight rain;4.3;1.9;0.0;100
2025-01-23 02:45:00+00:00;4.4;slight rain;4.3;1.9;0.0;100
2025-01-23 03:00:00+00:00;4.7;slight rain;4.6;1.6;0.0;100
2025-01-23 03:15:00+00:00;4.7;slight rain;4.6;1.6;0.0;100
2025-01-23 03:30:00+00:00;4.7;slight rain;4.6;1.6;0.0;100
2025-01-23 03:45:00+00:00;4.7;slight rain;4.6;1.6;0.0;100
2025-01-23 04:00:00+00:00;2.7;light drizzle;2.4;0.4;0.0;100
2025-01-23 04:15:00+00:00;2.7;light drizzle;2.4;0.4;0.0;100
2025-01-23 04:30:00+00:00;2.7;light drizzle;2.4;0.4;0.0;100
2025-01-23 04:45:00+00:00;2.7;light drizzle;2.4;0.4;0.0;100
2025-01-23 05:00:00+00:00;1.6;moderate drizzle;1.3;0.5;0.0;100
2025-01-23 05:15:00+00:00;1.6;moderate drizzle;1.3;0.5;0.0;100
2025-01-23 05:30:00+00:00;1.6;moderate drizzle;1.3;0.5;0.0;100
2025-01-23 05:45:00+00:00;1.6;moderate drizzle;1.3;0.5;0.0;100
2025-01-23 06:00:00+00:00;1.6;light drizzle;1.1;0.1;0.0;99
2025-01-23 06:15:00+00:00;1.6;light drizzle;1.1;0.1;0.0;99
2025-01-23 06:30:00+00:00;1.6;light drizzle;1.1;0.1;0.0;99
2025-01-23 06:45:00+00:00;1.6;light drizzle;1.1;0.1;0.0;99
2025-01-23 07:00:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-23 07:15:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-23 07:30:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-23 07:45:00+00:00;2.1;overcast;1.7;0.0;0.0;100
2025-01-23 08:00:00+00:00;2.4;overcast;2.0;0.0;0.0;100
2025-01-23 08:15:00+00:00;2.4;overcast;2.0;0.0;0.0;100
2025-01-23 08:30:00+00:00;2.4;overcast;2.0;0.0;0.0;100
2025-01-23 08:45:00+00:00;2.4;overcast;2.0;0.0;0.0;100
2025-01-23 09:00:00+00:00;2.2;overcast;1.7;0.0;0.0;100
2025-01-23 09:15:00+00:00;2.2;overcast;1.7;0.0;0.0;100
2025-01-23 09:30:00+00:00;2.2;overcast;1.7;0.0;0.0;100
2025-01-23 09:45:00+00:00;2.2;overcast;1.7;0.0;0.0;100
2025-01-23 10:00:00+00:00;2.2;overcast;1.4;0.0;0.0;100
2025-01-23 10:15:00+00:00;2.2;overcast;1.4;0.0;0.0;100
2025-01-23 10:30:00+00:00;2.2;overcast;1.4;0.0;0.0;100
2025-01-23 10:45:00+00:00;2.2;overcast;1.4;0.0;0.0;100
2025-01-23 11:00:00+00:00;2.1;light drizzle;1.0;0.1;0.0;100
2025-01-23 11:15:00+00:00;2.1;light drizzle;1.0;0.1;0.0;100
2025-01-23 11:30:00+00:00;2.1;light drizzle;1.0;0.1;0.0;100
2025-01-23 11:45:00+00:00;2.1;light drizzle;1.0;0.1;0.0;100
2025-01-23 12:00:00+00:00;2.1;overcast;0.1;0.0;0.0;100
2025-01-23 12:15:00+00:00;2.1;overcast;0.1;0.0;0.0;100
2025-01-23 12:30:00+00:00;2.1;overcast;0.1;0.0;0.0;100
2025-01-23 12:45:00+00:00;2.1;overcast;0.1;0.0;0.0;100
2025-01-23 13:00:00+00:00;2.3;light drizzle;-0.1;0.1;0.0;100
2025-01-23 13:15:00+00:00;2.3;light drizzle;-0.1;0.1;0.0;100
2025-01-23 13:30:00+00:00;2.3;light drizzle;-0.1;0.1;0.0;100
2025-01-23 13:45:00+00:00;2.3;light drizzle;-0.1;0.1;0.0;100
2025-01-23 14:00:00+00:00;2.3;overcast;-0.1;0.0;0.0;100
2025-01-23 14:15:00+00:00;2.3;overcast;-0.1;0.0;0.0;100
2025-01-23 14:30:00+00:00;2.3;overcast;-0.1;0.0;0.0;100
2025-01-23 14:45:00+00:00;2.3;overcast;-0.1;0.0;0.0;100
2025-01-23 15:00:00+00:00;3.0;overcast;0.0;0.0;0.0;100
2025-01-23 15:15:00+00:00;3.0;overcast;0.0;0.0;0.0;100
2025-01-23 15:30:00+00:00;3.0;overcast;0.0;0.0;0.0;100
2025-01-23 15:45:00+00:00;3.0;overcast;0.0;0.0;0.0;100
2025-01-23 16:00:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 16:15:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 16:30:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 16:45:00+00:00;3.3;overcast;0.5;0.0;0.0;100
2025-01-23 17:00:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:15:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:30:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 17:45:00+00:00;3.1;overcast;0.8;0.0;0.0;100
2025-01-23 18:00:00+00:00;2.6;overcast;0.7;0.0;0.0;100
2025-01-23 18:15:00+00:00;2.6;overcast;0.7;0.0;0.0;100
